name;episode;addedDate;xdcc;downloaded
100 man no Inochi no Ue ni Ore wa tatte iru;1;09-01-2022 14:03:34;/msg ARUTHA-BATCH|1080p xdcc send #18128;0
100 man no Inochi no Ue ni Ore wa tatte iru;2;09-01-2022 14:03:34;/msg ARUTHA-BATCH|1080p xdcc send #18129;0
100 man no Inochi no Ue ni Ore wa tatte iru;3;09-01-2022 14:03:34;/msg ARUTHA-BATCH|1080p xdcc send #18130;0
100 man no Inochi no Ue ni Ore wa tatte iru;4;09-01-2022 14:03:34;/msg ARUTHA-BATCH|1080p xdcc send #18131;0
100 man no Inochi no Ue ni Ore wa tatte iru;5;09-01-2022 14:03:34;/msg ARUTHA-BATCH|1080p xdcc send #18132;0
100 man no Inochi no Ue ni Ore wa tatte iru;6;09-01-2022 14:03:34;/msg ARUTHA-BATCH|1080p xdcc send #18133;0
100 man no Inochi no Ue ni Ore wa tatte iru;7;09-01-2022 14:03:34;/msg ARUTHA-BATCH|1080p xdcc send #18134;0
100 man no Inochi no Ue ni Ore wa tatte iru;8;09-01-2022 14:03:34;/msg ARUTHA-BATCH|1080p xdcc send #18135;0
100 man no Inochi no Ue ni Ore wa tatte iru;9;09-01-2022 14:03:34;/msg ARUTHA-BATCH|1080p xdcc send #18136;0
100 man no Inochi no Ue ni Ore wa tatte iru;10;09-01-2022 14:03:34;/msg ARUTHA-BATCH|1080p xdcc send #18137;0
